"","GEOID","h_county","commuters"
"650",24033801003,24009,75
"651",24035810800,24009,11
"652",24043011202,24009,4
"653",24510060400,24009,6
"654",24510120700,24009,4
"655",24510260501,24009,55
"656",24510260605,24009,53
"657",51013101408,24009,4
"658",51059470600,24009,1
"659",11001000904,24011,1
"660",11001010100,24011,15
"661",24003701104,24011,5
"662",24003702402,24011,203
"663",24003730401,24011,7
"664",24003740205,24011,10
"665",24003740304,24011,7
"666",24003741000,24011,34
"667",24005408704,24011,3
"668",24005440600,24011,18
"669",24013507602,24011,6
"670",24013513001,24011,4
"671",24017851502,24011,5
"672",24021750701,24011,1
"673",24021752206,24011,3
"674",24025301707,24011,4
"675",24027605105,24011,9
"676",24027605404,24011,20
"677",24027605602,24011,7
"678",24027606601,24011,1
"679",24027606706,24011,18
"680",24031700313,24011,2
"681",24031701002,24011,1
"682",24031701007,24011,9
"683",24031701205,24011,16
"684",24031702503,24011,2
"685",24031704600,24011,4
"686",24031704804,24011,19
"687",24031705602,24011,2
"688",24033800212,24011,6
"689",24033800504,24011,3
"690",24033801003,24011,10
"691",24035810800,24011,173
"692",24043011202,24011,2
"693",24510060400,24011,14
"694",24510120700,24011,2
"695",24510260501,24011,14
"696",24510260605,24011,42
"697",11001000904,24013,1
"698",11001010100,24013,57
"699",24003701104,24013,13
"700",24003702402,24013,244
"701",24003730401,24013,8
"702",24003740205,24013,24
"703",24003740304,24013,33
"704",24003741000,24013,73
"705",24005408704,24013,94
"706",24005421000,24013,4
"707",24005440600,24013,156
"708",24013507602,24013,4412
"709",24013513001,24013,682
"710",24017851502,24013,10
"711",24021750701,24013,216
"712",24021752206,24013,50
"713",24025301707,24013,35
"714",24027605105,24013,860
"715",24027605404,24013,371
"716",24027605602,24013,316
"717",24027606601,24013,25
"718",24027606701,24013,89
"719",24027606706,24013,185
"720",24031700313,24013,134
"721",24031701002,24013,31
"722",24031701007,24013,117
"723",24031701205,24013,177
"724",24031702503,24013,56
"725",24031704600,24013,40
"726",24031704804,24013,105
"727",24031705602,24013,19
"728",24033800212,24013,46
"729",24033800504,24013,23
"730",24033801003,24013,13
"731",24035810800,24013,16
"732",24043011202,24013,24
"733",24510060400,24013,281
"734",24510100100,24013,4
"735",24510120700,24013,83
"736",24510260501,24013,71
"737",24510260605,24013,233
"738",51013101408,24013,6
"739",11001010100,24015,13
"740",24003701104,24015,15
"741",24003702402,24015,92
"742",24003730401,24015,4
"743",24003740205,24015,12
"744",24003740304,24015,28
"745",24003741000,24015,20
"746",24005408704,24015,24
"747",24005421000,24015,5
"748",24005440600,24015,117
"749",24013507602,24015,24
"750",24013513001,24015,13
"751",24017851502,24015,3
"752",24021750701,24015,3
"753",24021752206,24015,10
"754",24025301707,24015,152
"755",24027605105,24015,17
"756",24027605404,24015,30
"757",24027605602,24015,12
"758",24027606601,24015,2
"759",24027606701,24015,4
"760",24027606706,24015,13
"761",24031700313,24015,18
"762",24031701002,24015,1
"763",24031701007,24015,31
"764",24031701205,24015,21
"765",24031702503,24015,16
"766",24031704600,24015,5
"767",24031704804,24015,12
"768",24031705602,24015,3
"769",24033800212,24015,11
"770",24033800504,24015,4
"771",24033801003,24015,5
"772",24035810800,24015,28
"773",24043011202,24015,5
"774",24510060400,24015,54
"775",24510100100,24015,1
"776",24510120700,24015,14
"777",24510260501,24015,49
"778",24510260605,24015,157
"779",11001000904,24017,43
"780",11001010100,24017,896
"781",24003701104,24017,25
"782",24003702402,24017,228
"783",24003730401,24017,6
"784",24003740205,24017,8
"785",24003740304,24017,31
"786",24003741000,24017,17
"787",24005408704,24017,5
