"","GEOID","h_county","commuters"
"1026",6037207711,6059,2973
"1027",6037212303,6059,171
"1028",6037214000,6059,87
"1029",6037216302,6059,406
"1030",6037219901,6059,22
"1031",6037224010,6059,234
"1032",6037224020,6059,638
"1033",6037264305,6059,66
"1034",6037265204,6059,261
"1035",6037265301,6059,290
"1036",6037265307,6059,37
"1037",6037267300,6059,39
"1038",6037267700,6059,385
"1039",6037267901,6059,2088
"1040",6037269000,6059,36
"1041",6037271600,6059,33
"1042",6037275313,6059,165
"1043",6037311601,6059,892
"1044",6037311602,6059,116
"1045",6037431701,6059,81
"1046",6037461700,6059,51
"1047",6037463900,6059,228
"1048",6037464000,6059,202
"1049",6037481606,6059,74
"1050",6037620303,6059,173
"1051",6037620400,6059,803
"1052",6037620802,6059,114
"1053",6037621201,6059,113
"1054",6037650606,6059,318
"1055",6037651101,6059,1981
"1056",6037670417,6059,291
"1057",6037700801,6059,1251
"1058",6037700802,6059,233
"1059",6037701000,6059,409
"1060",6037701501,6059,78
"1061",6037701502,6059,96
