"","FIPS","county","gdp_2024"
"390"," 12091","Okaloosa, FL",15005247
"391"," 12093","Okeechobee, FL",2175079
"392"," 12095","Orange, FL",125714369
"393"," 12097","Osceola, FL",15569050
"394"," 12099","Palm Beach, FL",110546089
"395"," 12101","Pasco, FL",18764534
"396"," 12103","Pinellas, FL",62297828
"397"," 12105","Polk, FL",33850469
"398"," 12107","Putnam, FL",2705030
"399"," 12109","St. Johns, FL",14423704
"400"," 12111","St. Lucie, FL",12842240
"401"," 12113","Santa Rosa, FL",6120812
"402"," 12115","Sarasota, FL",27981018
"403"," 12117","Seminole, FL",27404677
"404"," 12119","Sumter, FL",5791292
"405"," 12121","Suwannee, FL",1666334
"406"," 12123","Taylor, FL",649820
"407"," 12125","Union, FL",410095
"408"," 12127","Volusia, FL",22899878
"409"," 12129","Wakulla, FL",909779
"410"," 12131","Walton, FL",4883487
"411"," 12133","Washington, FL",723352
"412"," 13000","Georgia",697450891
"413"," 13001","Appling, GA",1671215
"414"," 13003","Atkinson, GA",272823
"415"," 13005","Bacon, GA",399545
"416"," 13007","Baker, GA",67662
"417"," 13009","Baldwin, GA",1539495
"418"," 13011","Banks, GA",527369
"419"," 13013","Barrow, GA",2859782
"420"," 13015","Bartow, GA",6649961
"421"," 13017","Ben Hill, GA",622165
"422"," 13019","Berrien, GA",442143
"423"," 13021","Bibb, GA",8722664
"424"," 13023","Bleckley, GA",277615
"425"," 13025","Brantley, GA",280165
"426"," 13027","Brooks, GA",467534
"427"," 13029","Bryan, GA",2494183
"428"," 13031","Bulloch, GA",2918172
"429"," 13033","Burke, GA",3022505
"430"," 13035","Butts, GA",781053
"431"," 13037","Calhoun, GA",111787
"432"," 13039","Camden, GA",2144752
"433"," 13043","Candler, GA",308267
"434"," 13045","Carroll, GA",6665826
"435"," 13047","Catoosa, GA",1712970
"436"," 13049","Charlton, GA",215374
"437"," 13051","Chatham, GA",22101588
"438"," 13053","Chattahoochee, GA",1710403
"439"," 13055","Chattooga, GA",574676
"440"," 13057","Cherokee, GA",10117689
"441"," 13059","Clarke, GA",8379557
"442"," 13061","Clay, GA",56213
"443"," 13063","Clayton, GA",21234037
"444"," 13065","Clinch, GA",225841
"445"," 13067","Cobb, GA",64921272
"446"," 13069","Coffee, GA",1796848
"447"," 13071","Colquitt, GA",1609148
"448"," 13073","Columbia, GA",4766804
"449"," 13075","Cook, GA",389083
"450"," 13077","Coweta, GA",5911619
"451"," 13079","Crawford, GA",180302
"452"," 13081","Crisp, GA",1027191
"453"," 13083","Dade, GA",521098
"454"," 13085","Dawson, GA",1167980
"455"," 13087","Decatur, GA",1058528
"456"," 13089","DeKalb, GA",47192352
"457"," 13091","Dodge, GA",442650
"458"," 13093","Dooly, GA",320470
"459"," 13095","Dougherty, GA",4907588
"460"," 13097","Douglas, GA",6119327
"461"," 13099","Early, GA",501753
"462"," 13101","Echols, GA",40144
"463"," 13103","Effingham, GA",2275632
"464"," 13105","Elbert, GA",740382
"465"," 13107","Emanuel, GA",741868
"466"," 13109","Evans, GA",420668
"467"," 13111","Fannin, GA",979639
"468"," 13113","Fayette, GA",6218168
"469"," 13115","Floyd, GA",4445591
"470"," 13117","Forsyth, GA",12612503
"471"," 13119","Franklin, GA",1149135
"472"," 13121","Fulton, GA",201157288
"473"," 13123","Gilmer, GA",1115184
"474"," 13125","Glascock, GA",31581
"475"," 13127","Glynn, GA",4753424
"476"," 13129","Gordon, GA",2606146
"477"," 13131","Grady, GA",639492
"478"," 13133","Greene, GA",941330
"479"," 13135","Gwinnett, GA",56392457
"480"," 13137","Habersham, GA",1640256
"481"," 13139","Hall, GA",13805042
"482"," 13141","Hancock, GA",146520
"483"," 13143","Haralson, GA",1153957
"484"," 13145","Harris, GA",674049
"485"," 13147","Hart, GA",1005031
"486"," 13149","Heard, GA",1183172
"487"," 13151","Henry, GA",8992588
"488"," 13153","Houston, GA",7763379
"489"," 13155","Irwin, GA",223529
"490"," 13157","Jackson, GA",4775506
