"FIPS","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","rho"
"01091",17876.6589383495,17876.6589383495,43094.4206582903,0.168135160683029,43094.4206582903,0.168135160683029,58144.5526771679,140639.092863058,0.54786418076917,430951.108393236,1041966.82435178,829.730115475365,2010.04194354948,0.00782211466733029,0,0,0,0
"01093",23194.7947420561,23194.7947420561,56077.043783205,0.218797456394902,56077.043783205,0.218797456394902,74795.8614425936,182935.530151236,0.711456869983408,549025.191969444,1340586.36718588,1142.22766213631,2798.19984096629,0.0108989645249144,0,0,0,0
"01095",73313.5091460752,73313.5091460752,177136.736576591,0.691560225271985,177136.736576591,0.691560225271985,262865.511847142,642695.972912948,2.5080331399525,1825318.84479646,4451453.94998456,3546.13001955049,8650.83261558221,0.0338041658777722,0,0,0,0
"01097",88821.3977325519,88821.3209171899,217541.16918292,0.846184014668692,217540.921155326,0.846183069839739,1476544.86079403,3583775.70509424,13.9507352674701,7967111.13032993,19366089.5758237,3940.1492624648,9703.14972266189,0.037408842980988,0,0,0,0
"01099",4673.48765168086,4673.48765168086,11371.0727940516,0.0440783954789989,11371.0727940516,0.0440783954789989,19546.531316234,47651.9784252544,0.184576588240937,131438.049516777,322162.120704704,215.382280937966,538.653727039877,0.00204348632175674,0,0,0,0
"01101",297300.085568094,297300.085568094,717525.339033063,2.80138583466858,717525.339033063,2.80138583466858,679338.767637425,1659484.92104851,6.48270394800706,4692388.53279744,11450330.9301083,6275.6171794029,15413.0116614991,0.0602628704880313,0,0,0,0
"01103",69350.2894922468,69116.8141709904,167900.204621925,0.655872321050196,167326.650719593,0.653537567837632,298728.158309973,732753.223163522,2.85935139384431,1957411.44374164,4790805.35354134,3366.36807216685,8239.56995091679,0.0321967283330281,0,0,0,0
"01105",12410.7098236207,12410.7098236207,29960.8460818953,0.116876068123214,29960.8460818953,0.116876068123214,42312.8768574723,103539.346042809,0.402384355941615,302861.049704674,738894.736713652,569.267880744524,1386.40167170997,0.005389685937617,0,0,0,0
"01107",18415.6158017464,18415.6158017464,45128.3209741021,0.176830227316318,45128.3209741021,0.176830227316318,82867.057387885,202300.769279504,0.784590098930147,607532.603359935,1479196.9716624,766.650709802205,1864.33663904724,0.00727041076631698,0,0,0,0
"01109",17975.4607765506,17975.4607765506,43665.6524738896,0.17078121464154,43665.6524738896,0.17078121464154,64446.3670483892,159682.326959711,0.626975072204063,441539.62507692,1089623.39113776,740.113710919564,1821.33063175437,0.00714525380023693,0,0,0,0
"01111",13332.7960486944,13332.7960486944,32117.68099473,0.125364516948302,32117.68099473,0.125364516948302,49933.9005622648,120544.06620385,0.470569122477299,339783.68916129,820106.531230963,532.485472366114,1287.41848500292,0.00502957489869862,0,0,0,0
"01113",26559.4660523655,26559.4660523655,64399.1578392798,0.251787060710643,64399.1578392798,0.251787060710643,116599.902496824,284177.723780606,1.11021510281196,749095.595363583,1823663.35645288,935.79307795406,2279.67622765704,0.00890777371341542,0,0,0,0
"01115",681253.757727002,681253.757727002,1641028.99066376,6.40503543449212,1641028.99066376,6.40503543449212,1945692.09399369,4696644.16385387,18.324512810743,14402055.6419589,34749730.2282626,31584.0468899014,76128.2541096075,0.297157672133129,0,0,0,0
"01117",2163138.17738576,2163138.17738576,5210246.5024551,20.3358413910318,5210246.5024551,20.3358413910318,6162071.53682044,14863704.3427953,57.9942547395036,45758860.1144162,110341753.660432,100032.164051282,241033.34182792,0.940813126313297,0,0,0,0
"01119",8133.97351764943,8133.97351764943,19684.9685889225,0.0766529917692265,19684.9685889225,0.0766529917692265,28442.2938493585,69797.5736640891,0.27024495436783,211285.333725703,516972.157929277,400.298832750369,983.435568602664,0.00380478118643674,0,0,0,0
