"GEOID","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","terminated_econ_loss"
"2407",198773986.55,508861405.568,2193.95772557972,1163649588,2978942945.28,0,0,0,0,0,0,92202169.5232
"2408",10715895,27432691.2,118.27614382447,245278547,627913080.32,0,0,0,0,0,0,28487868.16
"2501",924342.7,2366317.312,10.2023853470288,6109764,15640995.84,0,0,0,0,0,0,NA
"2502",50882173.4,130258363.904,561.609390457823,249722062,639288478.72,0,0,0,0,0,0,13309790.3872
"2503",2773305.1,7099661.056,30.6102134144406,21208678,54294215.68,0,0,0,0,0,0,NA
"2504",7478450.9,19144834.304,82.543019900124,51481075,131791552,0,0,0,0,0,0,18448127.4624
"2505",36202404.2,92678154.752,399.582187577501,231157335,591762777.6,0,0,0,0,0,0,449842433.8176
"2506",720921.15,1845558.144,7.95713037721091,6528880,16713932.8,0,0,0,0,0,0,NA
"2507",380414507.8,973861139.968,4198.80570288043,2106532965,5392724390.4,0,0,0,0,0,0,2724165826.77624
"2508",128425970.35,328770484.096,1417.49508929621,735037414,1881695779.84,0,0,0,0,0,0,12776839.4752
"2509",1443464.25,3695268.48,15.9321629447173,8667258,22188180.48,0,0,0,0,0,0,NA
"2601",791030.25,2025037.44,8.73095598813787,4990098,12774650.88,0,0,0,0,0,0,NA
"2602",254724.7,652095.232,2.81151086799983,1903950,4874112,0,0,0,0,0,0,789657.6
"2603",16774868.55,42943663.488,185.151754963667,52967444,135596656.64,0,0,0,0,0,0,479616.9472
"2604",671322.85,1718586.496,7.4096916738409,4505859,11534999.04,0,0,0,0,0,0,NA
"2605",25528.3,65352.448,0.281767307573863,516875,1323200,0,0,0,0,0,0,NA
"2606",133143359.6,340847000.576,1469.56303223602,766646499,1962615037.44,0,0,0,0,0,0,63364308.8429011
"2607",19673315.35,50363687.296,217.143213501136,114513188,293153761.28,0,0,0,0,0,0,6364260.6592
"2608",123000,314880,1.35760621865088,468000,1198080,0,0,0,0,0,0,NA
"2610",768026.25,1966147.2,8.47705051290336,4993595,12783603.2,0,0,0,0,0,0,61807.36
"2611",670589.3,1716708.608,7.40159515317674,3759510,9624345.6,0,0,0,0,0,0,NA
"2612",265378.5,679368.96,2.92910164143286,1068619,2735664.64,0,0,0,0,0,0,NA
"2613",14846340.45,38006631.552,163.865724545757,85368152,218542469.12,0,0,0,0,0,0,3028053.2992
"2701",57546312.7,147318560.512,635.164487658114,284997910,729594649.6,0,0,0,0,0,0,0
"2703",3578301.15,9160450.944,39.4953162068747,17827142,45637483.52,0,0,0,0,0,0,3746433.0496
"2704",938664.75,2402981.76,10.3604642425071,11611474,29725373.44,0,0,0,0,0,0,1641349.2992
"2705",69071979.3,176824267.008,762.378444164266,413968481,1059759311.36,0,0,0,0,0,0,37145598.0288
"2706",19170.85,49077.376,0.211597277860351,397361,1017244.16,0,0,0,0,0,0,NA
"2708",342102.65,875782.784,3.77594052891825,2831900,7249664,0,0,0,0,0,0,NA
"2801",2157675.25,5523648.64,23.8152303839763,16959375,43416000,0,0,0,0,0,0,1707392.0512
"2802",713503.6,1826569.216,7.87525954788446,13378613,34249249.28,0,0,0,0,0,0,267935.7952
"2803",6685280,17114316.8,73.7884365969296,38155605,97678348.8,0,0,0,0,0,0,3043828.1728
"2804",327233.2,837716.992,3.61181973389452,4852054,12421258.24,0,0,0,0,0,0,NA
"2901",125057373.5,320146876.16,1380.31437359143,787103687,2014985438.72,0,0,0,0,0,0,40537918.4384
"2902",231708.9,593174.784,2.55747515086792,1755710,4494617.6,0,0,0,0,0,0,NA
"2903",14193345.65,36334964.864,156.658327787816,72167235,184748121.6,0,0,0,0,0,0,16134607.2832
"2905",4912219.95,12575283.072,54.2183768414708,27340621,69991989.76,0,0,0,0,0,0,2087810.0992
"2907",82500,211200,0.910589536899979,1722079,4408522.24,0,0,0,0,0,0,NA
"2908",90462.05,231582.848,0.998470257169973,956200,2447872,0,0,0,0,0,0,NA
"3001",3750631,9601615.36,41.3973981257298,31512277,80671429.12,0,0,0,0,0,0,1896533.0688
"3002",1114041.85,2851947.136,12.2961800276206,6231302,15952133.12,0,0,0,0,0,0,NA
"3101",4253589.15,10889188.224,46.9487730213488,20309706,51992847.36,0,0,0,0,0,0,2426097.2544
"3102",22008652.9,56342151.424,242.919382448526,119979477,307147461.12,0,0,0,0,0,0,4472674.898432
"3103",49857,127633.92,0.550294091408755,394857,1010833.92,0,0,0,0,0,0,NA
"3201",1379760.4,3532186.624,15.2290349535628,8441571,21610421.76,0,0,0,0,0,0,14401315.9936
"3202",3134387.1,8024030.976,34.5956375497487,23521074,60213949.44,0,0,0,0,0,0,914700.898461538
"3204",55757.4,142738.944,0.615419455087841,1122962,2874782.72,0,0,0,0,0,0,NA
"3301",1477560.95,3782556.032,16.3085035297211,9599013,24573473.28,0,0,0,0,0,0,NA
"3302",47186534.8,120797529.088,520.818968138748,221975456,568257167.36,0,0,0,0,0,0,1281015.8848
"3401",3866162.8,9897376.768,42.6725744682658,17779827,45516357.12,0,0,0,0,0,0,1065074.7136
"3403",15840.6,40551.936,0.174839813554155,653787,1673694.72,0,0,0,0,0,0,NA
"3405",3959462.75,10136224.64,43.7023679017602,20226342,51779435.52,0,0,0,0,0,0,215158.6048
"3406",43419519.2,111153969.152,479.240725827245,241711160,618780569.6,0,0,0,0,0,0,13297201.5872
"3407",179190,458726.4,1.97780047414675,2123949,5437309.44,0,0,0,0,0,0,NA
"3408",393079.1,1006282.496,4.33859049253407,3416439,8746083.84,0,0,0,0,0,0,NA
"3410",3594360.7,9201563.392,39.6725726698725,20901127,53506885.12,0,0,0,0,0,0,2594764.2112
"3411",261681.25,669904,2.88829343336858,6045222,15475768.32,0,0,0,0,0,0,NA
