"FIPS","IDC_econ_loss_natl","term_econ_loss_natl"
"27155",7076.67371110815,208.243320325883
"27157",5203834.99930951,150008.096319842
"27159",71336.0324305429,2462.4254960441
"27161",377242.030142621,12028.7854499781
"27163",9662271.41728945,3034107.12301915
"27165",81111.4413819593,2325.24366282421
"27167",18527.6723958442,440.49013011329
"27169",3927961.08220728,116242.227385126
"27171",2031057.02430782,66479.2324111801
"27173",70911.7274396893,2292.06131160697
"28001",91136.5407741693,8194.91081677104
"28003",55596.5061201467,7088.89277941878
"28005",23657.5910056738,1034.25791013024
"28007",92468.9035153154,7978.105048078
"28009",71037.2122190681,4349.1762897792
"28011",103826.462035636,11414.5373892851
"28013",94320.3550284673,11901.7769934136
"28015",25766.0925465279,2676.03718401604
"28017",26592.9350192082,2745.17758712819
"28019",66950.7123694385,3311.12974364794
"28021",32840.282671228,1799.53328153747
"28023",26436.2871979825,1563.98013473928
"28025",93926.5057341445,6055.71139044026
"28027",101479.454522526,5499.18731568261
"28029",345183.346178702,20422.8484232672
"28031",49163.6659293914,1598.40585141755
"28033",7095672.22861215,148359.479390828
"28035",484026.57254682,29427.5491675106
"28037",27431.0134057296,977.786851070186
"28039",65858.7799518745,7338.06821664341
"28041",19425.3049685039,713.286232487042
"28043",124578.147304464,10750.22608941
"28045",129608.183472564,12872.3361016339
"28047",414905.142125946,54150.6296255303
"28049",7012786.86836381,579676.356054616
"28051",101427.506053065,6114.53551973014
"28053",14821.943819539,1763.84942848115
"28055",2745.03999342327,161.762945405617
"28057",26527.3397752193,3186.76103473035
"28059",292758.735122304,90907.6208059786
"28061",47356.9438046733,2608.95611998848
"28063",17777.6127783663,902.942021943337
"28065",44405.1434614752,2543.40014614985
"28067",140571.19574208,11531.515817802
"28069",18500.4055009912,1173.83860483655
"28071",1851546.10868269,455329.792341384
"28073",291925.776441435,20372.1122982082
"28075",172567.830603183,15056.8629670796
"28077",40062.0726848733,1873.20295269223
"28079",134971.909939351,7603.80039935617
"28081",212090.327661816,25846.8796271034
"28083",71639.6923466826,8084.35261625738
"28085",158287.636962508,12467.1370690411
"28087",171404.226216568,10012.6479727905
"28089",3310877.66034126,1001645.10931588
"28091",59236.3914034018,6341.78226151145
"28093",224537.78800186,19043.5609183445
"28095",63865.3472002902,5413.20490131997
"28097",44822.8540555874,2956.68667708654
"28099",87822.9993730609,7806.14107208432
"28101",49001.1040087283,4010.22725321082
"28103",23990.6433019063,757.559411440702
"28105",782786.989294748,11239.2976414882
"28107",202163.413234972,33913.2435162616
"28109",152231.758110698,17351.0682458882
"28111",28200.8624495667,659.980862150111
"28113",108108.926376566,5997.54294730136
"28115",90083.8941079306,9991.08775539517
"28117",39961.316435151,2920.16550356849
"28119",28766.9497902096,2171.24595085679
"28121",4150058.57318037,243289.146584351
"28123",166490.839532247,9237.23909333732
"28125",13992.4408776219,1077.24751984733
"28127",231115.427710338,12987.8504257708
"28129",76891.8244261506,5522.40818467988
"28131",45298.4940995266,2564.89231557358
"28133",59132.9476406011,8023.75403404562
"28135",31951.1968640251,4435.01415599808
"28137",426810.226780544,16339.2438187361
"28139",90456.6375065394,5162.64366831699
"28141",39014.1991288317,3878.37703770941
"28143",71042.6840025712,5319.71781858762
"28145",78681.7166020879,9834.35350226348
"28147",25220.7725479742,1443.54270986513
"28149",244160.040585307,13909.8724287081
"28151",204911.11662253,47644.4136343144
"28153",51288.9122722292,2642.47328806127
"28155",72785.1567724596,3066.88198363283
"28157",44084.9410555298,3006.45261089736
"28159",62100.1607472499,3313.04607842631
"28161",122060.847040476,24683.3098427651
"28163",208931.429238043,11953.2400989917
"29001",74939.0606874106,18494.0110647934
"29003",94126.9660043463,8358.03298097473
"29005",12046.7967552919,3523.19709322709
"29007",265773.787837784,92491.0584879442
"29009",58286.9655547596,7948.49817169342
"29011",17494.2422756911,3523.19709322709
"29013",26465.816141648,4081.24962475377
"29015",17256.4990426072,421.299384554193
"29017",8073.81556923833,0
"29019",23541440.783815,9837430.21303587
"29021",174538.628993582,33625.8363138059
"29023",28460.8746243171,4621.41623283568
"29025",16656.358675017,0
"29027",1408384.77218746,614322.087910767
"29029",125615.520490104,42545.0173288264
"29031",128506.355838488,11235.9679170786
"29033",519334.220673736,80807.8631366588
"29035",496472.760632082,76421.6583209244
"29037",1004886.66986537,36139.6209347937
"29039",12786.6665186852,421.299384554193
"29041",57690.0750246929,17625.3164564886
"29043",1369773.77218523,197569.005027828
"29045",17990.3983238911,693.470415826893
"29047",3602242.91272228,169553.155945971
"29049",736437.734255137,99631.6510991083
"29051",927341.100584746,323358.295717938
"29053",691070.146034469,264239.781992032
"29055",83643.4066221199,18595.3373822163
"29057",3676.74925632826,0
"29059",566371.528140827,77733.2971154449
"29061",40667.544398373,7541.07730959267
"29063",90573.4575700396,8358.03298097473
"29065",44615.9551667874,10613.7156499365
"29067",27661.0745950438,7046.57684414713
"29069",60122.3294416466,11789.4607743782
"29071",3267017.88813868,487039.643489499
"29073",17869.1373023194,3523.19709322709
"29075",76542.1524880964,4834.83588774764
"29077",1217337.53767869,164084.505361858
"29079",199791.885961007,4356.21576811584
"29081",41962.868589826,11169.2858330227
"29083",50114.8990369006,8160.03813827576
"29085",16681.1206763779,421.299384554193
"29087",32229.0691517462,10569.5912796813
"29089",292715.553486368,301308.230337676
"29091",66006.4298644794,18230.3072001898
"29093",20603.6381941206,3523.19709322709
"29095",15977555.6398255,572231.756150601
"29097",1289901.7315996,217308.958056246
"29099",15337240.8849619,2206497.35540696
"29101",163093.954900566,231133.447778863
"29103",12985.8086548164,3745.7249330731
