"GEOID","IDC_econ_loss","static_IDC_loss","terminated_econ_loss","static_term_loss","pol_party","state"
"3601",41062501.352052,37260519.2484316,20585878.9481289,0,"Republican","New York"
"3602",29697947.2784346,387494.208590513,26486457.619478,0,"Republican","New York"
"3603",54473678.9676802,54545014.9908514,65414114.9483607,640146.270743215,"Democrat","New York"
"3604",41632093.3271089,0,68974721.0503684,0,"Democrat","New York"
"3605",52141385.9414563,2557794.23671261,74612083.5296452,0,"Democrat","New York"
"3606",62338665.0852215,1534356.10790564,104595536.353373,0,"Democrat","New York"
"3607",73447053.5735471,3128157.6240032,99065160.3202893,4991361.71817367,"Democrat","New York"
"3608",69808564.679487,0,66165456.3920385,0,"Democrat","New York"
"3609",81595552.0947389,8040870.70323835,87182582.5872028,0,"Democrat","New York"
"3610",106642088.353814,239293626.534762,97104486.8516172,14639292.4422863,"Democrat","New York"
"3611",51938486.3842848,441962.066289,86646468.7941841,0,"Republican","New York"
"3612",90008085.5365068,342661776.03886,99997704.5579557,20962779.7004075,"Democrat","New York"
"3613",166291830.749581,568288884.059204,799241403.271531,3096243260.20166,"Democrat","New York"
"3614",100232106.230517,88892351.5497083,336592649.647649,5996405.42747611,"Democrat","New York"
"3615",110757735.473181,1196902.08412953,475276024.204262,4634938.80542826,"Democrat","New York"
"3616",56567556.5125664,4023998.98305684,152552441.071542,2901578.61147882,"Democrat","New York"
"3617",36732216.6121063,12616011.3369071,93028910.2679901,117083.397940306,"Republican","New York"
"3618",22311503.4102862,119552.76130887,47641456.0717484,0,"Democrat","New York"
"3619",53148016.9550573,57827780.7659254,412276187.967799,549539125.393997,"Democrat","New York"
"3620",22336704.5144807,23943223.3044052,7670217.04752161,2316182.38741862,"Democrat","New York"
"3621",6722669.99029094,787282.445945718,1384053.9966852,73394.2365333559,"Republican","New York"
"3622",21393722.825631,18940800.0017756,49011251.5088965,0,"Democrat","New York"
"3623",22798516.128335,190352.021536133,56282362.6259009,0,"Republican","New York"
