"ORIGIN","DESTINATION","IDC_econ_loss"
"24003","42003",3404.12299359993
"24003","48201",15105.3790898321
"24005","13089",94472.1527181266
"24005","42003",364447.422049351
"24005","48201",18.518218976037
"24009","42003",0.0940287821417971
"24013","13089",18894.4305436254
"24013","42003",56.336289797429
"24015","42003",0.376115128567188
"24015","48201",5035.12636327737
"24017","13089",37788.8610872506
"24021","42003",242542.125393481
"24023","42003",0.0940287821417971
"24025","13089",37788.8610872506
"24025","42003",121033.220176432
"24027","42003",3325.37523430225
"24029","42003",0.0940287821417971
"24031","13089",9447.21527181266
"24031","42003",3592.10289996811
"24031","48201",10070.2527265548
"24033","13089",18901.5661005658
"24033","42003",411.630122260034
"24037","13089",18894.4305436254
"24037","42003",0.0940287821417971
"24041","42003",0.188057564283594
"24041","48201",5035.12636327737
"24043","42003",242112.94830349
"24045","48201",10070.2527265548
"24510","42003",124025.445892387
"25003","42003",0.0940287821417971
"25005","13089",9447.21527181266
"25009","13089",75591.9932883821
"25017","13089",226733.166523504
"25017","42003",125646.529989499
"25025","13089",18894.4305436254
"25025","48201",45316.1372694964
"25027","42003",11453.2928880666
"25027","48201",25175.6318163868
"26023","13089",9447.21527181266
"26025","13089",9447.21527181266
"26027","48201",18.518218976037
"26049","42003",0.188057564283594
"26059","13089",37788.8610872506
"26075","13089",9515.61224349219
"26081","42003",112.484522030574
"26091","13089",47236.0763590633
"26091","42003",0.0940287821417971
"26091","48201",3641.70949839984
"26099","48201",1595.70984474054
"26105","42003",203.435923311578
"26125","42003",1665.80793373633
"26127","42003",148.093450046348
"26161","13089",75577.7221745012
"26161","42003",0.470143910708984
"26161","48201",21850.256990399
"26163","42003",56.2422610152872
"27003","48201",5035.12636327737
"27137","42003",0.0940287821417971
"27139","42003",12.8270327276424
"27159","42003",141.655155227317
"28027","48201",18.518218976037
"28035","13089",37788.8610872506
"28039","48201",5035.12636327737
"28045","48201",18.518218976037
"28047","13089",18894.4305436254
"28047","48201",20232.4037447144
"28049","48201",35245.8845429417
"28059","13089",9447.21527181266
"28067","13089",113.585474030692
"28073","13089",9447.21527181266
"28079","13089",113.585474030692
"28079","48201",5035.12636327737
"28089","48201",15105.3790898321
"28101","48201",5035.12636327737
"28105","48201",5035.12636327737
"28109","48201",91.8982916048576
"28113","13089",9447.21527181266
"28121","48201",15105.3790898321
"28131","48201",5035.12636327737
"28137","48201",174.151835790726
"29013","48201",5035.12636327737
"29055","48201",5035.12636327737
"29071","48201",10070.2527265548
"29077","48201",10070.2527265548
"29099","48201",20140.5054531095
"29183","13089",9447.21527181266
"29183","48201",15105.3790898321
"29189","13089",151155.444349002
"29189","48201",28817.3413147867
"29213","48201",5035.12636327737
"29219","48201",5035.12636327737
"29510","13089",9447.21527181266
"31079","13089",9447.21527181266
"31109","42003",359.828426659237
"31111","13089",9447.21527181266
"32003","13089",37857.2580589301
"33005","42003",56.2422610152872
"33015","42003",0.0940287821417971
"34003","42003",260.860058423348
"34003","48201",15575.6024746453
"34005","13089",47236.0763590633
"34005","42003",8.3545595258225
"34007","13089",37788.8610872506
"34007","42003",1060.59293324928
"34011","42003",148.093450046348
"34013","13089",94472.1527181266
"34015","13089",18894.4305436254
"34015","42003",2053.934978049
"34017","13089",94472.1527181266
"34017","42003",0.282086346425391
"34019","42003",0.188057564283594
"34021","42003",327.658031951209
"34023","42003",283.592396801059
"34025","13089",227.170948061384
"34025","42003",362555.23736084
"34027","42003",3242.92042447952
"34029","42003",56.2422610152872
"34031","42003",241564.110647995
"34031","48201",18.518218976037
"34035","42003",1666.09002008276
"34037","42003",0.470143910708984
"34039","42003",102.977373606171
"34041","42003",0.0940287821417971
"35001","13089",18894.4305436254
"35006","13089",9447.21527181266
"35043","13089",28341.645815438
"35049","13089",18894.4305436254
"35061","13089",37788.8610872506
"36001","13089",18894.4305436254
"36001","42003",1621.46021223976
"36001","48201",45.9491458024287
"36003","42003",0.188057564283594
"36005","13089",75577.7221745012
"36005","42003",113.975498591663
"36005","48201",25232.3609377122
"36009","42003",511.313180672235
"36011","13089",113.585474030692
"36013","42003",103.729603863305
"36015","42003",120930.226678139
"36027","13089",47236.0763590633
"36029","42003",121450.542388988
"36037","42003",0.0940287821417971
"36039","48201",3641.70949839984
"36047","13089",66130.5069026886
"36047","42003",229.12949806297
"36047","48201",10070.2527265548
"36055","13089",7.13555694047889
"36055","42003",133.13719327187
"36059","42003",141.655155227317
"36059","48201",15162.1082111575
"36061","13089",340099.749785256
"36061","42003",113.518838634134
"36063","42003",120923.898536789
"36067","13089",113.585474030692
"36069","42003",0.188057564283594
"36071","13089",28341.645815438
"36073","42003",12.8270327276424
"36079","13089",18894.4305436254
"36081","13089",151155.444349002
"36081","42003",494.894940751378
"36081","48201",10925.1284951995
"36085","42003",1824.89613555134
"36087","13089",47236.0763590633
